,,Notes,PDG Archive,PDG Rust,PDG Snow,PDG Detritus
,Mission_Train_Briefing,This mission involves defending a train traveling across the map.,"""Ol'Horace, ici présent, est le seul train diesel qui reste sur cette planète - et qui n'est pas au fond de l'océan, d'ailleurs. Il reste toujours puissant, transportant des approvisionnements vitaux à travers l'île."", 
""Je supervisais moi-même la maintenance de cette locomotive de l'Ancienne Terre. Le bon côté est que - lorsque les Veks ont frappé, OI'Horace est devenu la structure principale de nos lignes d'approvisionnement !"", 
""Les trains diesel peuvent être démodés aujourd'hui, mais Ol'Horace est puissant et vital pour nos lignes d'approvisionnement !"",","""Ce train à sustentation magnétique est l'une de nos dernières lignes d'approvisionnement. Mon peuple compte sur lui pour les fournitures - sans cela..."",

""Cette ligne de train à sustentation magnétique est une artère majeure entre nos villes restantes. Nous la perdons, nous perdons aussi les villes."",

""Le train à sustentation magnétique fonctionne à l'énergie solaire - nous devons le sortir de la tempête qui s'approche avant que ses batteries se déchargent."",

""Assurez-vous à ce que le train d'approvisionnement ait atteint le point d'extraction - nous pourrons le récupérer à partir de là."",

""Ce train à sustentation magnétique est l'un des rares qui nous reste. Il doit passer à travers, ou mon peuple sera coupé du reste de l'île."",",,"""L'élimination des déchets de Détritus repose sur des trains qui acheminent des produits dangereux vers nos sites d'élimination... Si les Veks les interceptent auquel cas..."",

""Nos trains semblent provoquer les Veks - nous n'en connaissons pas la raison, mais les Veks les attaquent à vue."",

""Un convoi acheminant des déchets pour leur élimination traverse ce secteur. Ses vibrations attirent les Veks, nous devons donc le protéger des attaques."","
,Mission_Train_Success,If the train remains undamaged and makes it to its destination... ,"""Les réfugiés seront reconnaissants pour le ravitaillement. Et je vous dois des remerciements personnels pour avoir sauvé Ol'Horace - nous avons tous les deux vécu beaucoup de choses ensemble."", 
""Ol'Horace s'est rendu à sa destination sans une égratignure ! C'est un grand jour lorsque nous pouvons protéger notre histoire des Veks, surtout quand on sait que l'intégralité de notre passé a été engloutie par les eaux !"",
","""Les approvisionnements ont pu traverser sans encombre et sont en route pour nourrir mon peuple. Je vous remercie."",

""Excellent, le train a pu traverser. Nous pourrons combattre un jour supplémentaire."",
",,"""Le train est arrivé en gare; il a atteint sa destination sans incident. Bien joué, Commandant."",

""J'ai reçu la confirmation, Commandant - le train est en route et en toute sécurité, aucun Vek n'a été détecté sur son passage."","
,Mission_Train_Failure,The train was completely destroyed... ,"""Encore un artefact irremplaçable perdu à cause des Veks. Peut-être que R.S.T. acceptera de nous vendre un de leur train à sustentation magnétique."", 

""C'était le dernier train diesel qui ne se trouvait pas au fond d'un océan. Cela est regrettable. Nous aurons besoin d'un nouveau transport de fournitures maintenant."",

","""C'était l'un de derniers train à sustentation magnétique que nous avions. Je ferais un rapport des pertes à la ville destinatrice des fournitures et je verrais ce que je peux faire pour renforcer les secours là-bas."",

""Chaque train à sustentation magnétique que nous perdons, nous font perdre deux villes. Protéger mon peuple, c'est protéger les lignes d'approvisionnement."",
",,"""Le train est détruit - et les sous-produits qu'il transportait ont contaminé le secteur. C'est encore une zone inhabitable pour tous sauf pour les Veks."",

""Il ne reste plus rien du train. Ou de son équipage. Détritus honore leur bravoure et pleure leur perte."","
,Mission_Train_Partial,"If the train is damaged once, it will stop, but the player can still defend it to earn half the rewards... ","""Il faudra des semaines pour réparer ce train, mais au moins ce n'est pas une perte totale. Pour l'instant, nous devrons trouver un autre moyen d'expédier des fournitures."", 

""Ces trains de l'Ancienne Terre ont été construits pour durer ! Malgré les coups subis, nous pouvons toujours le remettre en marche - remarquable !"", 

""Il en faudra aux Veks pour stopper Ol' Horace. Nous le mettrons de nouveau sur pieds en un rien de temps!"",","""Pourquoi ligne ferroviaire a t-elle été interrompu ? Le train aurait pu être détruit... mes ingénieurs pensent que ses dégâts sont mineurs, mais nous ne pouvons pas nous permettre de fermer la ligne le temps pour des réparations."",

""Nous envoyons immédiatement des équipes en direction du train - leur priorité étant de le faire fonctionner."",
",,"""Le train a été endommagé, mais #squad a sauvé l'équipage. Vous avez notre gratitude, Commandant."",

""Le train a été endommagé, mais pas irréparable - grâce à vous, nos ingénieurs peuvent le remettre en marche."","
,,,,,,
,Mission_Volatile_Briefing,"This mission involves a special monster that explodes when killed. The primary objective is to not kill it, letting it run away.","""Ce Vek 'explosif' n'a pas la décence de mourir en silence - il peut exploser et endommager des régions entières. Quoique vous fassiez, ne le tuez pas!"", 

""Ce Vek 'explosif' explose violemment quand il est tué ! Éloignez-le et pour notre sécurité, ne le laissez pas exploser !"",

","""Normalement, je ne vous demanderais pas retenir vos coups - mais l'un des Veks est Explosif, il explosera si vous le tuez. Éloignez-le à la place."",
""Un Vek Explosif a été repéré. Quand ce type de Veks meurt, il explose et lance un nuage de poussière qui brouille nos capteurs pendant des jours - ne le tuez pas, Éloignez-le à la place."",
""Ce Vek est nuisible. Le Vek explosif ne meure pas tranquillement, il explose... et emporte des districts entiers avec lui. Ne le tuez pas - faites le courir."",
""Ce Vek explosif est une bombe vivante. Ne le tuez pas, éloignez-le avant qu'il ne transforme la région en cratère."",","""Mon Processus d'Analyse Vek a envoyé une alerte. Un des Vek dans cette région va exploser à sa mort. Vous devez l'éloigner sans le tuer."",","""Nous avons détecté un Vek Explosif dans ce secteur, et il est impératif à ce qu'il n'... explose pas, ou il pourra provoquer une réaction en chaîne."",

""Interceptez les Veks dans ce secteur, mais ne faites pas de mal au Vek Explosif - éloignez-le sans le tuer ou les dégâts seront catastrophiques."",

""Nous avons identifié un Vek Explosif dans ce secteur, Commandant - 'encouragez'-le à se retirer - sans le tuer."","
,Mission_Volatile_Success,Volatile Monster survives... ,"""Je suis sûr que ce Vek explosif sera de retour, mais au moins rien n'a été endommagé. Hmm... Nous devrions doubler la protection contre les explosions des Vestiges avant qu'il ne revienne..."", 

""Si nous avions les ressources, nous pourrions capturer cette monstruosité volante et l'étudier. Au moins elle est partie maintenant, c'est un soulagement !"",
","""Excellent. Nous devrions être en mesure de suivre ce Vek Explosif et lui placer une Bombe de type Terra lorsqu'il frappera une région abandonnée."",

""Un de ces jours, nous capturerons ce Vek Explosif et nous trouverons comment transformer chaque Vek en un Vek Explosif... ensuite nous les enverrons exploser leurs propres ruches."",
","""Je crée un nouveau sous-programme pour surveiller où ce Vek. J'espère qu'il se tiendra éloigné de nos régions."",","""Nous traquons le Vek Explosif à présent - il ne devrait plus être une menace pour nous. Nous félicitons vos efforts, Commandant, bien joué."",

""Le Vek Explosif se retire dans sa ruche. C'est une bonne nouvelle - nous devrions pouvoir le suivre et le faire exploser lorsqu'il atteindra le nid."","
,Mission_Volatile_Failure,Volatile Monsters dies... ,"""Il y avait une réserve naturelle dans le rayon de tir du Vek. L'une des dernières espèces de furets restantes est probablement éteinte maintenant."", 

""L'un de nos Vestige Technologique souterrains a été ouvert lorsque ce Vek a explosé. J'espère que rien d'autre à l'intérieur n'ait été endommagé !"",
","""Nous avons entendu l'explosion jusqu'à la Tour Corporative R.S.T. Je suppose que vous avez échoué."",

""Nous avons détecté l'explosion sur nos capteurs... la région nous est inutile maintenant."",

""Le Vek Explosif a endommagé nos sous-structures... nos équipes d'ingénieurs devront travailler d'arracher pied pour fortifier l'île."",
","""Cette ex#lo...@ion^... a end#^@gé... <connexion perdue>"",","""Nos capteurs ont détecté l'explosion. Il n'y a plus rien à faire maintenant, nous avons évacué tous les survivants que nous pouvions."",

""La détonation de Vek a perturbé les opérations de Détritus dans le secteur - nous devrons nous retirer et réévaluer notre plan d'attaque."","
,,,,,,
,Mission_BlobBoss_Briefing,,"""Une sorte de... masse gélatineuse s'approche de notre quartier général ! Nous n'avons jamais rien vu de tel - vous devez l'arrêter !""","""Les capteurs ont détecté un Vek inconnu... une sorte de créature gélatineuse massive. Quoi qu'il en soit, ne la laissez pas atteindre la tour !""",,
,Mission_BlobBoss_Failure,,"""Nos scientifiques croient que le Vek Suintant a conservé assez de sa biomasse pour rester une menace pour la région. Regrettable.""
","""Vous avez échoué à la mission. La créature conserve encore assez de masse pour se reformer et attaquer à nouveau.""",,
,Mission_BlobBoss_Success,,"""Ha ! Cela devrait chasser le Vek de notre Île Archive pour de bon ! Merci pour vos efforts afin de préserver notre passé, #squad.""","""Je ne sais pas comment vous avez réussi, mais la créature a été détruite - elle ne constitue plus une menace. Je vous remercie - vous et #squad.""",,
,,,,,,
,Mission_SpiderBoss_Briefing,,"""Une abominations Vek, une sorte de monstruosité ressemblant à une araignée, approche de notre quartier général. Lui et ses rejetons doivent être arrêtés !""","""Une abomination Vek a été aperçue - elle engendre une horde d'araignées Vek et attaque la Tour R.S.T. . Nous avons besoin de vos Mechs maintenant.""",,
,Mission_SpiderBoss_Failure,,"""Hélas, avec cette abomination Vek encore vivante, les Veks restent une menace sérieuse dans la région. Je ne peux que vous souhaiter d'être plus efficace sur les autres îles."" 
","""Si vous êtes vraiment le dernier espoir de l'humanité, alors nous sommes perdus. Cette araignée Vek attaquera encore, je pense que vous ne serez plus là pour nous aider la prochaine fois.""",,
,Mission_SpiderBoss_Success,,"""Avec cette abomination Vek détruite, nous ne devrions plus voir l'apparition de nouvelles ruches sur notre île. Merci à vous et #squad, vous nous avez sauvé !""","""Je dois admettre que votre prestation était impressionnante. Nous pouvons souffler maintenant sachant que l'abomination Vek et ses rejetons sont morts""",,
,,,,,,
,Mission_BotBoss_Briefing,,,,"""Une de nos machines a pris le contrôle d'une ruche Vek et lance une attaque contre la Tour Pinnacle ! Vous devez la stopper !""",
,Mission_BotBoss_Boss,,,,"""Je trouverai une façon d'éteindre cette machine. Elle est devenue trop dangereuse pour continuer d'exister. """,
,Mission_BotBoss_Tower,,,,"""Mes serveurs de données dans le Tour Pinnacle ont subi de graves dommages. Je dois supervision leurs réparations."",",
,Mission_BotBoss_Success,,,,"""Si seulement nous savions comment la machine contrôle les Veks, nous pourrions gagner cette guerre. """,
,,,,,,
,Mission_BossGeneric_Briefing,,"""Une sorte d'abomination Vek approche de notre quartier général ! Elle doit être stoppée !""","""Une monstruosité Vek attaque notre tour. Nous devons compter sur vous une dernière fois pour nous aider.""","""La Tour Pinnacle est attaquée. Mon processeur d'analyse n'est pas capable d'identifier les espèces Veks qui nous menacent. Soyez prudent."",","""Nos capteurs ont détecté un Vek que nous n'avions jamais rencontré auparavant... Je crains qu'il soit plus coriace que les autres."",

""Nous avons détecté un Vek inconnu s'approchant du hub Detritus. Nous rassemblons toutes les informations que nous pouvons, Commandant, mais nous avons besoin de #squad. "","
,Mission_BossGeneric_Boss,,"""Avec l'abomination Vek encore en vie, les Vek restent une menace sérieuse pour la région. Je ne peux que vous souhaitez d'être plus efficace sur les autres îles.""","""Si vous êtes vraiment le dernier espoir de l'humanité, alors nous sommes perdus. Cette monstruosité Vek attaquera encore, je pense que vous ne serez plus là pour nous aider la prochaine fois.""","""Je vais assigner un drone pour suivre et analyser ce nouveau Vek. Nous devrions obtenir plus de données sur lui pour mieux le combattre."",","""Ce Vek monstrueux a survécu - et il nous attaquera probablement encore une fois. Si #squad ne peuvent pas le stopper, je crains que nos forces n'aient aucune chance."","
,Mission_BossGeneric_Tower,,"""Vous avez survécu, mais hélas, notre quartier général est détruit... Nous avons perdu tellement des vies face à ces créatures !""","""Vous avez laissé notre quartier général se faire détruire par ces créatures. Nous comptions sur vous... Enfin JE comptais sur vous.""","""Mes serveurs de données dans le Tour Pinnacle ont subi de graves dommages. Je dois supervision leurs réparations."",","""Notre quartier général a été détruit. Nous évacuons tous les survivants que nous pouvons, mais plus de 30% du personnel de Detritus occupait le QG quand il est tombé."","
,Mission_BossGeneric_Success,,"""Avec cette abomination Vek détruite, nous ne devrions plus voir l'apparition de nouvelles ruches sur notre île. Vous nous avez sauvé !""","""Je dois admettre que votre prestation était impressionnante. Nous sommes plus serein maintenant que nous savons que cette Montruosité Vek n'est plus.""","""Des milliers de vie ont été sauvées aujourd'hui. Je suis reconnaissant pour le temps que vous avez sacrifié pour nous aider."",","""L'abomination Vek est morte, et notre quartier général est intact. Vous et #squad avez nos remerciements. "","
,,,,,,
Archive Inc Missions,Mission_Airstrike_Briefing,,"""Cette région possédait un ancien aérodrome qui peut vous fournir un support aérien. Nous ne connaissons pas encore les engins nouvellement découverts mais nous ferons de notre mieux."", 

""Nous avons retrouvé quelques avions de l'Ancienne Terre. Mon personnel n'est pas encore formé à leur pilotage mais nous allons faire de notre mieux !"",
",,,
,Mission_Airstrike_Success,,"""J'étais fier de voir ces avions voler dans le ciel. Nous avons vraiment montré à ces Vek ce que la technologie de l'Ancienne Terre peut faire !"", 

""Cette région est maintenant sans Veks ! J'espère que nos pilotes n'ont pas endommagé vos Mechs pendant la bataille."",
",,,
,,,,,,
,Mission_Tanks_Briefing,,"""Nous avons des ingénieurs qui travaillent sur deux tanks de l'Ancienne Terre dans cette région. Ils devraient être opérationnels peu après votre arrivée."",
",,,
,Mission_Tanks_Success,,"""Les Vek ont été détruits - et la technologie de l'Ancienne Terre est parfaitement fonctionnelle ! On n'aurait pas pu espérer mieux !"",
",,,
,Mission_Tanks_Failure,,"""Les deux tanks ont été détruits ? Mais... ils étaient la seule autre défense que nous avions dans la région, nous sommes vulnérables sans eux."",
",,,
,Mission_Tanks_Partial,,"""C'est dommage que l'un des tanks ait été détruit, mais au moins il nous en reste encore un pour notre exposition sur les conflits planétaires."", 

""C'est dommage de voir l'un de nos tanks détruit, mais au moins il a servi dans une bataille !"",
",,,
,,,,,,
,Mission_Satellite_Briefing,,"""Ces satellites étaient la pièce maîtresse de notre exposition 'La Course pour découvrir l'espace' , mais ils s'avèreront plus utiles pour la coordination de nos défenses."",

""Ces satellites ont été récupérés de leur orbite il y a longtemps, mais ils devraient encore fonctionner suffisamment bien pour nous aider à détecter l'activité Vek à travers l'île."",

""Nous avons amélioré ces anciens satellites et devrions pouvoir les utiliser. Avec un peu de chance, ils survivront au lancement !"",

""Nous avions l'intention de lancer ces satellites depuis un certain temps, j'espère que vos Mechs pourront empêcher les Veks de saboter nos efforts."",
",,,
,Mission_Satellite_Success,,"""Nous récupérons déjà des données des satellites en orbite. Excellent travail, dorénavant, nous serons en mesure de prévoir et contrer les attaques Veks !"", 

""J'ai rêvé de lancer ces satellites dans l'espace toute ma vie ! C'est incroyable de voir que la technologie de l'Ancienne Terre en action et continuant de remplir son objectif."", 

""De mon point de vue personnel, j'étais toujours triste de voir ces satellites exposés ainsi et prenant la poussière. Maintenant qu'ils sont dans l'espace, ils aident l'humanité et c'est pour ça qu'ils ont été créés !"",
",,,
,Mission_Satellite_Failure,,"""Encore plus d'artéfacts détruits par les Vek et avec eux l'amenuisement de nos chances d'établir un système d'alerte prédictif"", 

""Mon grand-père a récupéré ces satellites pour la Corporation Archive - de nombreuses vies auraient pu être sauvées si nous avions pu les remettre en orbite. C'est une tragédie de les avoir tous les deux perdus."",
",,,
,Mission_Satellite_Partial,,"""Il aurait été préférable de mettre les deux satellites en orbite, mais au moins l'un d'eux est là-haut et nous transmet des informations vitales !"", 

""Je soupçonne que les scientifiques de l'Ancienne Terre n'auraient pas été satisfait d'un taux de réussite de 50%, mais c'est le meilleur résultat que nous aurions pu avoir, pour nous, simples amateurs !"",

",,,
,,,,,,
,Mission_Artillery_Briefing,,"""Nos techniciens ont récemment mis en service une batterie d'artillerie de l'Ancienne Terre ! Assurez-vous à ce qu'elle survive au combat, s'il vous plaît."",",,,
,Mission_Artillery_Success,,"""Excellent travail, nous laisserons la batterie d'artillerie opérationnelle et prête au cas où les Veks décideraient de revenir !""",,,
,Mission_Artillery_Failure,,"""Nous espérions étudier cette batterie d'artillerie pour étendre notre force de frappe militaire. Maintenant, c'est juste un autre tas de ferrailles sans valeur."",",,,
,,,,,,
,Mission_Mines_Briefing,,"""L'Ancienne Terre produisait des quantités massives d'explosifs. Cette région est jonchée de munitions encore actives, regardez bien où vous mettez les pieds !"",

""Il y a des centaines d'années, beaucoup de mines de proximité de l'ancienne Terre ont été ensevelies dans cette région. Nous les désarmions petit à petit - mais nous nous sommes dit : pourquoi ne pas les utiliser contre les Veks ?"",

""Nous menions des fouilles dans cette région lorsque les Veks ont utilisé des mines de proximité de l'Ancienne Terre. Vous pourrez peut-être les utiliser contre les Veks !"",",,,
,Mission_Mines_Success,,"""Regarder ces mines exploser les Veks était un vrai régal ! Et cela a l'autre avantage de déminer les environs pour que nos forces puissent se déplacer sereinement dans la région."",

""Avec le départ des Veks et le déminage de certaines mines de proximité, nous pouvons maintenant établir une présence militaire permanente dans la région !"",",,,
,,,,,,
,Mission_Dam_Briefing,,"""La destruction du barrage dans cette région est un mal nécessaire - cela créera une barrière naturelle entre nous et les Veks fouisseurs."",

""Ce barrage de l'Ancienne Terre était utilisé pour générer de l'énergie, mais a peu d'utilité maintenant. En le détruisant, la rivière créera une barrière naturelle et retardera les Veks.""",,,
,Mission_Dam_Success,,"""C'était douloureux de voir tomber ce monument historique. J'espère que le jeu en valait la chandelle"",

""Merci, #squad - la destruction de ce barrage va retarder les Veks le temps que nous puissions remettre en marche d'autres technologies militaires récemment récupérées !"",

""Maintenant, il y a une énorme rivière entre les réfugiés et les ruches Vek, nous devrions tous être beaucoup plus en sécurité ! Merci, #squad.""",,,
,Mission_Dam_Failure,,"""La destruction de ce barrage aurait été utile. Au moins c'est toujours impressionnant à regarder."",

""Tant que la rivière sera contenue derrière le barrage, les centres de réfugiés de la région voisine seront des cibles faciles pour les Veks Enfouisseurs.""",,,
,,,,,,
,Mission_Tides_Briefing,,"""Un volcan en mer provoque des tsunamis le long de la côte - il pourrait peut-être nous aider à noyer les Veks qui menacent la région.""",,,
,Mission_Tides_Success,,"""Mère nature vient à notre défense ! C'est une bonne chose que les structures dans la région aient été préparées pour l'inondation. Merci, #squad !""",,,
,,,,,,
RST Missions,Mission_Force_Briefing,"This mission involves ""a display of force"" against the Vek. Bonus Objectives are to ""Kill 6 Vek"" and ""Destroy 2 Mountains""",,"""Nous devons agir agressivement. Nous avons besoin que vous détruisiez autant de terres dans la région que vous le pouvez avant que les Veks n'utilisent les montagnes comme des ruches."",

""Nous devons repousser les Veks - tuez tout ce que vous pouvez, puis détruisez les chaînes de montagnes avant qu'elles ne deviennent des ruches."",",,
,Mission_Force_Success,Both objectives complete,,"""Bien joué. Normalement, j'aurais été ravi d'avoir une terre enfin stable dans n'importe quelle partie de R.S.T. - mais pas si celle-ci profite aux Veks."",",,
,Mission_Force_Failure,Both objectives failed,,"""Pas assez de Veks ont été tués... et les rapports indiquent qu'il reste assez de terre stable pour construire une ruche. Cette mission a été un échec complet."",",,
,Mission_Force_MountainsAlive,"Mountains left standing (optional, we could just have generic ""Failed"" messages and not bother with these.",,"""Il y a eu juste assez de Veks tués, mais la terre stable restante peut être pour construire d'autres ruches pour reconstituer leur nombre."",",,
,Mission_Force_VekAlive,"Vek left standing (optional, we could just have generic ""Failed"" messages and not bother with these.",,"""Des Veks sont encore présents dans la région. Mais au moins avec les terres stables détruites, nous n'aurons pas de ruches à nettoyer si nous les frappons à nouveau."",",,
,,,,,,
,Mission_Holes_Briefing,"Similar to 'generic' missions, but this one has Hornet Vek arriving out of massive holes in the groundinstead of Vek coming up from under the standard tiles. Where these holes came from has no explanation currently, so the text can address that.",,"""Nous détectons une étrange activité Vek - des Veks volants sortent de ruches souterraines situées sous l'île à travers des points d'érosion."",

""Des rapports nous indiquent que des Veks sortent de trous pour s'envoler. Nous ne pouvons pas non plus leur permettre d'avoir une supériorité aérienne."",

""Des rapports nous indiquent que les Veks ne font pas que creuser des galeries dans le sous-sol mais également qu'ils sortent de terre pour s'envoler. Ils contrôlent déjà les sous-sols, il ne faut pas leur laisser également les airs !"",

""Je veux que vous fassiez de cette zone, une zone d'exclusion aérienne pour les Veks - transformez ces points d'érosion en tombes."",",,
,Mission_Holes_Success,"""Generic"" success for this mission, as it can involve a number of different bonus objectives (low grid power, low mech power, etc.)",,"""Pas Vek en l'air ou foulant le sol - bref aucun Vek vivant. Bien joué."",

""Nous avons arrêté l'infestation Vek ici - nous serons prêts si plus de points d'érosion apparaissent."",
",,
,,,,,,
,Mission_Lightning_Briefing,"Another ""Generic"" mission, but this one has lightning striking the ground every turn. Weather Control systems out of control?",,"""Une de nos stations météorologiques a signalé que les Veks convergeaient vers eux. Interceptez-les - mais méfiez-vous du temps, il pleut littéralement des éclairs."",

""Une de nos turbines météorologiques nous a rapporté une attaque Vek. Nous ne pouvons pas nous permettre de perdre la turbine, mais méfiez-vous des tempêtes dans la région - elles échappent à notre contrôle."",",,
,Mission_Lighting_Success,"""Generic"" success as it can also involve a lot of bonus objectives.",,"""Bien joué. R.S.T. Les conditions météorologiques sont notoirement difficiles à contrôler, mais elles sont l'une de nos meilleures armes contre les Veks.""",,
,,,,,,
,Mission_Terraform_Briefing,"Mission expect the player to use the Terraformer to transform grass into sand (as part of RST's ""scorched earth"" policy). Though Justin is concerned that it's confusing why the player would want to destroy pretty land, as the mission does not make it clear why destroyed grassland makes a strategic difference.",,"""Nous devons activer l'un de nos terraformeurs pour détruire une ruche Vek sous la surface."",

""Utilisez le terraformeur sur le sol dans ce secteur. Nous ne pouvons pas laisser les Vek utiliser de la terre stable pour se reproduire; toute la région pourrait être perdue."",

""Notre technologie de terraformation est l'une de nos meilleures armes contre les ruches Vek."",

""Nous devons utiliser le terraformeur dans cette région pour faire écrouler les tunnels Vek dans nos sous-sols."",
",,
,Mission_Terraform_Success,Terraformer is defended and all grassland is terraformed,,"""Le Terraformeur est en sûreté - et les capteurs ne signalent aucune activité de Vek sous la surface. La région est enfin à nous."",

""Perdre la verdure de notre île de cette façon est quelque chose que je peux endurer du moment que je sais que les Veks ne pourront pas l'exploiter."",",,
,Mission_Terraform_Failure,Terraformer is destroyed (and grassland thus failed to be transformed),,"""Le terraformer a été détruit - et nous avons déjà des rapports qui indiquent que des ruches Vek se sont construites dans la région. Une de nos meilleures armes dans la guerre est partie."",",,
,Mission_Terraform_Incomplete,"Terraformer survives, but the grassland remains",,"""Vous avez sécurisé le terraformer, mais il est trop tard pour arrêter les ruches - et cela signifie que les régions environnantes sont également en danger."",",,
,,,,,,
,Mission_Cataclysm_Briefing,"The entire map is falling away, only half the map remains at the end of the battle",,"""La défaillance d'un terraformeur est en train de détruire le sous-sol de cette région. Essayez de ne pas tomber dans les profondeurs.""",,
,Mission_Cataclysm_Success,Generic success since there are no mission specific objectives,,"""Ce gouffre s'avère trop profond pour même les Veks. Peut-être que nous devrions commencer à creuser des gouffres comme celui-ci un peu partout sur notre île...""",,
,,,,,,
,Mission_Crack_Briefing,Crack is spreading across the map from one edge to the other.,,"""Les Veks ont retiré le stabilisateur de sol de cette région. Nous ne savons pas quel sera le résultat... Faites attention.""",,
,Mission_Crack_Success,Generic success since there are no mission specific objectives,,"""Encore un jour où une partie de notre foyer a été détruite. Une fois que ces Veks auront disparus, nos terraformeurs auront du travail à faire.""",,
,,,,,,
,Mission_Filler_Briefing,"An ""Earth Mover"" is filling in a chasm in the earth. Player must defend it.",,"""Un de nos Remueurs Terrestres remplit un gouffre créé par des stabilisateurs défectueux. Assurez-vous qu'il reste en une seule pièce.""",,
,Mission_Filler_Success,"""Earth Mover"" survives and the ground is filled in",,"""Nous commencerons à construire des défenses souterraines sur cette nouvelle terre avant que le Vek puisse s'y enfouir.""",,
,Mission_Filler_Failure,"""Earth Mover"" dies -- ground still might be filled in, so don't address that.",,"""La terre stable est une aubaine sur cette île - nous avions besoin de ce Remueur Terrestre pour créer les fondations pour de nouveaux abris et de nouvelles routes !""",,
,,,,,,
,Mission_Solar_Briefing,,,"""Nous façonnons les conditions météorologiques sur l'île de afin que nos fermes solaires puissent capter la lumière du soleil douze heures par jour. Mais pour ce faire, les fermes solaires doivent rester intactes.""",,
,Mission_Solar_Success,,,"""Ces fermes solaires sont essentielles pour maintenir le Réseau d'Énergie. C'est un miracle que vous ayez empêché les Veks de les détruire.""",,
,Mission_Solar_Partial,,,"""Une seule ferme solaire est insuffisante. Alors que l'île subit des pannes de courant, je suis sûr que vous vous attendez à ce que vos Mechs reçoivent un traitement prioritaire.""",,
,Mission_Solar_Failure,,,"""Sans énergie, vos Mechs ne valent rien. Peut-être que la prochaine fois vous devriez considérer cela quand vous verrez l'ennemi détruire nos fermes solaires.""",,
,,,,,,
*,Mission_Bomb_Briefing,Two prototype Renfield Bombs are on the map to be defended.,,"""Ce site contient deux ogives conçues par un physicien temporel, le Dr Renfield, utilisant votre technologie de ""faille temporelle"". R.S.T. a été jugé l'endroit le plus sûr pour les tester.""",,
*,Mission_Bomb_Success,Both bombs defended,,"""Excellent, les deux prototypes sont intacts. Je peux ordonner à Renfield et à son équipe de passer à la deuxième étape.""",,
*,Mission_Bomb_Partial,One bomb lost,,"""Vous avez perdu l'un des prototypes de Renfield, cependant, l'autre est intact. Votre manque de rigueur pourrait nous coûter la guerre.""",,
*,Mission_Bomb_Failure,Both bombs lost,,"""Votre incompétence ne connaît pas de limites. Pas un, mais les deux prototypes de Renfield ont été détruits... vous nous avez fait perdre la guerre !""",,
,,,,,,
Pinnacle Inc Missions,Mission_FreezeBots_Briefing,"Player is given a tank capable of freezing units in ice for this mission. They are tasked to Freeze 2 Hostile Robots that are present, and make sure they survive (frozen) till the end.",,,"""Ces machines ne sont pas actuellement elles-mêmes. Voyez-les comme des êtres vivants au-delà de leur agression dysfonctionnelle.""",
,Mission_FreezeBots_Success,,,,"""Merci de protéger notre vie artificielle. Je suis sûr que je serai en mesure de restaurer leur programmation."",",
,Mission_FreezeBots_Freed,1 bot is still alive but not frozen,,,"""Il est regrettable que vous ayez été incapable de sécuriser les deux machines, mais je vous suis reconnaissant d'avoir fait preuve de retenue et de les avoir maintenues en vie."",",
,Mission_FreezeBots_Dead,1 bot was killed for any reason,,,"""Je sais que je vous ai contraint. Mais au moins une des machines a survécu, et ses Soeurs qui sont également des serveurs de données vous seront reconnaissantes."",",
,Mission_FreezeBots_Failure,Both bots are dead,,,"""Je sais que je vous ai contraint. Mais je dois pleure la perte de vies..."",",
,,,,,,
,Mission_BotDefense_Briefing,"There are two neutral robots laying mines on the map, ignoring both players and enemies. The Player needs to defend them both to the end.",,,"""Nos robots poseurs de mine ont perdu leurs E/S et tentent de faire tourner de vieux programmes. Protégez ces créatures aveugles sans défense."",",
,Mission_BotDefense_Success,,,,"""Avec les Veks détruits, nous pouvons tenter en toute sécurité les réparations sur nos machines. Je vous remercie."",",
,Mission_BotDefense_Partial,1 bot died,,,"""Je sais que je vous ai contraint. Mais au moins une des machines a survécu, et ses Soeurs qui sont également des serveurs de données vous seront reconnaissantes."",",
,Mission_BotDefense_Failure,Both bots dead,,,"""Je sais que je vous ai contraint. Mais je dois pleure la perte de vies..."",",
,,,,,,
,Mission_Factory_Briefing,"Two Robotic Factories are spawning hostile robots throughout the mission, but the player must defend the factories -- Robots are fair game, though for lore reasons probably still discouraged

The factories are 'too valuable' to lose and perhaps contain 'innocent sentient lives'?",,,"""Ces usines fabriquent des machines hostiles, mais il y a des centaines de vies innocentes à l'intérieur. S'il vous plaît, défendez-les pendant que nous essayons de les neutraliser en toute sécurité."",",
,Mission_Factory_Success,,,,"""J'ai traversé leur pare-feu et j'ai coupé l'alimentation électrique de ces usines. Elles ne constitueront plus une menace.""",
,Mission_Factory_Partial,1 factory was destroyed,,,"""Cette usine ne contenait pas seulement des vies, mais pouvait en créer. Peu d'installations de ce type demeurent sur notre île. Maintenant il y en a une de moins qu'avant."",",
,Mission_Factory_Failure,Both factories destroyed,,,"""Cette usine ne contenait pas seulement des vies, mais pouvait en créer. Peu d'installations de ce type demeurent sur notre île. Maintenant il y en a deux de moins qu'avant."",",
,,,,,,
